material_id,property_name,value,unit,temperature_C,pH,method,source_id,data_quality,confidence_score,notes
API_DEXAMETHASONE,MW,392.46,g/mol,,,PubChem/handbook curation,S001_PUBCHEM,database-derived,0.88,
API_DEXAMETHASONE,logP,1.83,,,,computed/curated XLogP or literature consensus,S001_PUBCHEM,database-derived,0.72,Approximate; salt/tautomer state may alter.
API_DEXAMETHASONE,formal_charge,0,e,,,canonical neutral parent/salt-free structure,S001_PUBCHEM,database-derived,0.82,Use salt-specific material row for ionic salts.
API_DEXAMETHASONE,water_solubility_mg_ml,0.1,mg/mL,,,literature/aqueous solubility range approximated,S001_PUBCHEM,estimated,0.45,Highly pH- and salt-form-dependent.
API_DEXAMETHASONE,melting_point_C,262,°C,,,literature/supplier melting range,S001_PUBCHEM,handbook,0.65,Use polymorph-specific data when available.
API_DEXAMETHASONE,TPSA,94.8,Å²,,,computed descriptor,S001_PUBCHEM,database-derived,0.82,
API_DEXAMETHASONE,HBD,3,count,,,computed descriptor,S001_PUBCHEM,database-derived,0.82,
API_DEXAMETHASONE,HBA,6,count,,,computed descriptor,S001_PUBCHEM,database-derived,0.82,
API_DEXAMETHASONE,rotatable_bonds,2,count,,,computed descriptor,S001_PUBCHEM,database-derived,0.82,
API_DEXAMETHASONE,aromatic_rings,1,count,,,manual structural count,S001_PUBCHEM,estimated,0.6,
API_DEXAMETHASONE,BCS_class,II,,,,literature consensus/placeholder,S007_EXCIPIENTS_HANDBOOK,estimated,0.4,Must be curated from API-specific biopharmaceutics sources.
API_DEXAMETHASONE,delta_D,18,MPa^0.5,,,heuristic group-contribution/nearest-neighbour,S013_EST_HSP_HEURISTIC,estimated,0.43,Provisional HSP for screening; replace with experimental/literature value before model lock.
API_DEXAMETHASONE,delta_P,10.5,MPa^0.5,,,heuristic group-contribution/nearest-neighbour,S013_EST_HSP_HEURISTIC,estimated,0.43,Provisional HSP for screening; replace with experimental/literature value before model lock.
